"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","15","Email RegEx Check One By One","","","","","Assert the email:Ahmed_Runolfsson@claire.name matches the regex",""
"passed","Thu Aug 13 18:59:11 CEST 2020","Thu Aug 13 18:59:11 CEST 2020","47","Search comment with postId invalid cases","","","","","Send the postId as minus",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","31","Email RegEx Check One By One","","","","","Assert the email:Malvina_Fay@louie.name matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","7","Email RegEx Check One By One","","","","","Assert the email:Elda@orval.name matches the regex",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","14","Email RegEx Check One By One","","","","","Assert the email:Keshaun@brown.biz matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","18","Email RegEx Check One By One","","","","","Assert the email:Bernie.Schoen@seamus.co.uk matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","16","Email RegEx Check One By One","","","","","Assert the email:Yasmeen@golda.ca matches the regex",""
"passed","Thu Aug 13 18:59:15 CEST 2020","Thu Aug 13 18:59:15 CEST 2020","43","Search user with username invalid cases","","","","","Send a non existing url",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","20","Email RegEx Check One By One","","","","","Assert the email:Vella.Mayer@colten.net matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","15","Email RegEx Check One By One","","","","","Assert the email:Lizzie_Bartell@diamond.net matches the regex",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","19","Email RegEx Check One By One","","","","","Assert the email:Patience_Bahringer@dameon.biz matches the regex",""
"passed","Thu Aug 13 18:59:11 CEST 2020","Thu Aug 13 18:59:11 CEST 2020","88","Search comment with postId invalid cases","","","","","Send a different field",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","17","Email RegEx Check One By One","","","","","Assert the email:Sister_Barton@lela.com matches the regex",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","6","Email RegEx Check One By One","","","","","Assert the email:Aurelie_McKenzie@providenci.biz matches the regex",""
"passed","Thu Aug 13 18:59:08 CEST 2020","Thu Aug 13 18:59:08 CEST 2020","25","Email RegEx Check One By One","","","","","Assert the email:Caleb_Dach@kathleen.us matches the regex",""
"passed","Thu Aug 13 18:59:13 CEST 2020","Thu Aug 13 18:59:13 CEST 2020","42","Search post with userId invalid cases","","","","","Send the userId as minus",""
"passed","Thu Aug 13 18:59:09 CEST 2020","Thu Aug 13 18:59:09 CEST 2020","15","Email RegEx Check One By One","","","","","Assert the email:Maryam@jack.name matches the regex",""
